Steps,Li*,*Li2S8,*Li2S7,*Li2S6,*Li2S5,*Li2S4,*Li2S3,*Li2S2,*LiS7,*LiS6,*LiS5,*LiS4,*LiS3,*LiS2,*2LiS,*LiS,S*,S2*,S3*,S4*,S5*,S6*,*Li2S,S8*,target
1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2.0743010999999854
2,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-0.09019894000005024
3,-1,-1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.6881756700000778
4,-1,-1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.1706069300000763
5,-1,-1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1.1341355800000201
6,-1,-1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24527600000010352
7,-1,-1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005868990000067242
8,-1,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.39338776999966285
9,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-0.04613533999997799
10,-1,0,-1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.4134425000000874
11,-1,0,-1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-0.8928252499999871
12,-1,0,-1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.5422238700000435
13,-1,0,-1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4874798399998994
14,-1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.7008002249999237
15,-1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-0.5189721599999331
16,-1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-0.3340955849999574
17,-1,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.16491102000001945
18,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.8047617550000012
19,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1.3762022400001541
20,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1.2040185149999587
21,-1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6325780299999195
22,-1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-0.007272705000062274
23,-1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-0.5062793099999254
24,-1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.6911558850000148
25,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.18453422999994018
26,-1,0,0,-1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-0.1797244200000705
27,-1,0,0,-1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-0.3449771400000827
28,-1,0,0,-1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1464683699998659
29,-1,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1.1077618299996175
30,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.18758274000003894
31,-1,0,0,0,-1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.13745411999991575
32,-1,0,0,0,-1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.11304552999990847
33,-1,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0.5360807899999429
34,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,0,1,0,0.8035747899998995
35,-1,0,0,0,0,0,0,1,0,0,-1,2,0,0,0,0,0,0,2,0,0,0,0,0,0.232134304999974
36,-1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,-0.4077164299998941
37,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.906723034999871
38,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,1,0,1.193427764999953
39,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,2,0,0,0,0,0,0,0.6219872800000275
40,-1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,-0.017863454999954342
41,-1,0,0,0,0,-1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5924282799999006
42,-1,0,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0.4996094399997233
43,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5017127700000188
44,-1,0,0,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.6648621599996822
45,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0.5741466499998751
46,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,2,0,0,0,0,0,1,0,0.3807632150001581
47,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0.52254039000006
49,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,2,0,0,0,0,1,0,1.0450225400000335
50,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,2,0,0,0,0,0,0,0,0.4735820549999943
51,-1,0,0,0,0,0,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-0.1906772699999948
52,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-0.1683720100001036
53,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,0,0,0,0,0,0,-0.5464290600001078
54,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,0.002706164999992211
55,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-1,0,0,0,0,0,-1.2106883849999832
56,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,-1.3590936100000164
57,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,-0.9692406350000766
58,-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1.3696843600000221
59,-1,0,0,0,0,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-0.1662686799999875
60,-1,0,0,0,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5168700599999312
61,-1,0,0,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0915996099999603
62,-1,0,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8729839500000054
63,-1,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6519587199999961
64,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,-0.13907101000006605
65,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,0,-0.16837201000009827
66,-1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-0.1683720100002155
67,-1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-0.1683720099999988
68,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-0.16837201000004853
69,-1,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-0.19067727000004098
70,-1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-0.16837201000023327
71,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-0.16837201000007695
72,-1,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-0.1906772700000161
73,-1,0,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-0.16626868000004436
75,-1,0,0,0,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-0.19067727000005164
76,-1,0,0,0,0,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-0.1662686799999804
77,-1,0,0,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-0.1906772699999877
